Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
179	Racers / Xalax	4568-1	Loopin	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4569-1	Warrior	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4570-1	Shredd	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4571-1	Spiky	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4572-1	Scratch	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4573-1	Lightor	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4574-1	Rip	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4575-1	Pulse	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4576-1	Duster	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4577-1	Snake	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4579-1	Ice Ramp Racers	2001	135.24	33.5 x 23.8 x 7
422	Universal Building Set / Basic	515-1	Basic Building Set	1990	?	14.2 x 14.2 x 5.7
124	Train / 9V / My Own Train	10013-1	Open Freight Wagon	2001	80	29 x 19 x 5
124	Train / 9V / My Own Train	10014-1	Caboose	2001	?	19 x 19 x 6
124	Train / 9V / My Own Train	10015-1	Passenger Wagon	2001	90	28.7 x 19 x 5.9
124	Train / 9V / My Own Train	10016-1	Tanker	2001	90	28.7 x 19 x 5.9
124	Train / 9V / My Own Train	10017-1	Hopper Wagon	2001	90	28.6 x 19 x 6
124	Train / 9V / Legends	10001-1	Metroliner	2001	?	48 x 28.5 x 10
124	Train / 9V / Legends	10002-1	Railroad Club Car	2001	?	28.5 x 28.5 x 6
61	Pirates / Pirates I	6290-1	Pirate Battle Ship {Red Beard Runner Reissue}	2001	464	58 x 39 x 7
61	Pirates / Pirates I / Islanders	6292-1	Enchanted Island {Reissue}	2001	?	? x ? x ?
61	Pirates / Pirates I / Imperial Armada	6291-1	Spaniard Ship {Armada Flagship Reissue}	2001	?	38 x 28.5 x 7.3
67	Town / Classic Town / Gas Station	6472-1	Gas N' Wash Express	2001	?	38 x 29 x 6
63	Service Packs / Western	5392-1	Wild West Accessories	1997	?	? x ? x ?
63	Service Packs / Western	5317-1	Wild West Accessories	1999	?	? x ? x ?
36	Technic / Model / Construction	8464-1	Pneumatic Front End Loader	2001	?	43 x 28.7 x 7
36	Technic / Model / Construction	8463-1	Forklift Truck	2001	?	? x ? x ?
390	Holiday & Event / Christmas	1128-1	Santa on Skis	1997	?	7 x 9.4 x 4.6
227	Harry Potter / Sorcerer's Stone	4701-1	Sorting Hat	2001	30	14.6 x 14.6 x 4.8
227	Harry Potter / Sorcerer's Stone	4702-1	The Final Challenge	2001	37	14.3 x 19.1 x 4.6
227	Harry Potter / Sorcerer's Stone	4704-1	The Chamber of the Winged Keys	2001	86	28.5 x 19 x 4.5
227	Harry Potter / Sorcerer's Stone	4705-1	Snape's Class	2001	28	28.6 x 19.1 x 4.8
227	Harry Potter / Sorcerer's Stone	4706-1	Forbidden Corridor	2001	138	28.5 x 28.5 x 7
227	Harry Potter / Sorcerer's Stone	4707-1	Hagrid's Hut {1st edition}	2001	157	28.5 x 28.5 x 6
227	Harry Potter / Sorcerer's Stone / Train / 9V	4708-1	Hogwarts Express {1st edition}	2001	173	38 x 28.5 x 7
227	Harry Potter / Sorcerer's Stone	4709-1	Hogwarts Castle {1st edition}	2001	648	57.5 x 38 x 7
227	Harry Potter / Sorcerer's Stone	4721-1	Hogwarts Classroom	2001	64	19 x 19 x 4.7
227	Harry Potter / Sorcerer's Stone	4722-1	Gryffindor	2001	60	19 x 19 x 4.7
227	Harry Potter / Sorcerer's Stone	4723-1	Diagon Alley Shops	2001	60	19 x 19 x 4.8
63	Service Packs	5154-1	Decorated Elements	1991	?	? x ? x ?
67	Town / Space Port	1266-1	Space Probe	1999	?	? x ? x ?
422	Universal Building Set / Supplemental	3033-1	Basic Bulk Tub (American Version)	1998	?	41.2 x 27.8 x 19.4
422	Universal Building Set / Basic Set	744-1	Universal Building Set	1980	316	49 x 29.5 x 9.5
277	LEGOLAND / Vehicle / Race	619-1	Rally Car	1977	14	10 x 6.5 x 4
63	Service Packs / Technic	5110-2	Cross Axles and Nuts	1990	?	12.3 x 20.3 x 1.7
63	Service Packs	5187-1	Bricks with Groove and Garage Panels	1989	?	? x ? x ?
63	Service Packs / Technic	5246-1	Tires (81mm) with Hubs	1987	?	23 x 19 x 5
63	Service Packs / Technic	5112-1	Lifting Grabs and Crane Hook	1990	?	? x ? x ?
63	Service Packs	1211-1	Space Stands and Brackets	1982	2	9.7 x 15 x 1.6
277	LEGOLAND / Vehicle / Traffic	384-1	London Bus	1973	?	17.8 x 11.8 x 5
277	LEGOLAND / Airport	613-1	Biplane	1974	15	10 x 6.5 x 4
67	Town / Classic Town / Construction	622-1	Tipper Truck	1978	10	11.5 x 7 x 3.7
277	LEGOLAND / Police	659-1	Police Patrol with Policemen	1975	?	15 x 6.5 x 4
277	LEGOLAND / Building	346-2	House with Car	1969	87	28 x 21 x 5
422	Universal Building Set / Basic	325-1	Basic Building Set	1990	?	18.5 x 9 x 13.5
390	Holiday & Event / Christmas	1979-1	Snowman polybag	1991	?	14.5 x 13.5 x 1.5
67	Town / Classic Town / Coast Guard	575-1	Coast Guard Station	1978	158.8	35 x 21.9 x 3.7
273	BIONICLE / Tohunga	1388-1	Huki polybag	2001	?	? x ? x ?
273	BIONICLE / Tohunga	1392-1	Kongu polybag	2001	?	? x ? x ?
390	Holiday & Event / Advent / Classic Basic	1298-1	Advent Calendar 1998, Classic Basic	1998	390	38.4 x 27.8 x 7.2
277	LEGOLAND / Police	420-1	Police Car	1973	?	? x ? x ?
169	Sculptures	3451-1	Sopwith Camel	2001	174	38.3 x 28.6 x 7
277	LEGOLAND / Airport	698-1	JAL Boeing 727	1977	?	? x ? x ?
67	Town / Classic Town / Airport	1100-1	Sky Pirates	2001	?	19.2 x 9.5 x 5.8
34	Space / Life on Mars	1195-1	Alien Encounter polybag	2001	?	16.5 x 15.8 x 2.3
167	DUPLO / Basic Set	1544-1	Medium Bucket	1988	?	? x ? x ?
273	BIONICLE / Tohunga	1389-1	Onepu polybag	2001	?	? x ? x ?
273	BIONICLE / Tohunga	1390-1	Maku polybag	2001	?	? x ? x ?
273	BIONICLE / Tohunga	1391-1	Jala polybag	2001	?	? x ? x ?
273	BIONICLE / Tohunga	1393-1	Matoro polybag	2001	?	17.3 x 16.6 x 2.4
65	Star Wars / Star Wars Episode 4/5/6	7119-1	Twin-Pod Cloud Car	2002	44	19 x 14.2 x 5.8
65	Star Wars / Star Wars Episode 4/5/6	7139-1	Ewok Attack	2002	61	19 x 19 x 4
65	Star Wars / Ultimate Collector Series / Sculptures / Star Wars Episode 4/5/6	7194-1	Yoda - UCS	2002	498	57.6 x 38.4 x 6.8
65	Star Wars / Star Wars Episode 4/5/6	7200-1	Final Duel I	2002	28	14 x 14 x 4
65	Star Wars / Star Wars Episode 4/5/6	7201-1	Final Duel II	2002	27	14.3 x 14.3 x 3.8
