Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions
142	Minifigure, Body Wear	3840pb16	Minifigure Vest with Straps and Coast Guard Logo Pattern (Sticker) - Set 7047		0.3	? x ? x ?
118	Brick, Decorated	3009pb134L	Brick 1 x 6 with White 'POLICE' and Red Line on Black Background Pattern Left Side (Sticker) - Set 6598		2.42	1 x 6 x 1
582	Stickered Assembly	BA008pb07	Stickered Assembly 4 x 1 x 2 with White 'TV 2' on Blue Background Pattern (Sticker) - Set 664-1 - 2 Brick 1 x 4		3.32	4 x 1 x 2
160	Sticker Sheet	8896stk01	Sticker Sheet for Set 8896 - (89826/4580717)		0.8	? x ? x ?
16	Minifigure, Headgear	87781pb01	Minifigure, Headgear Helmet Space with World Racers Team Extreme Logo Pattern		0.98	? x ? x ?
18	Minifigure, Utensil	89801	Minifigure, Utensil Trophy Cup		1.8	? x ? x ?
150	Minifigure, Torso	973pb0683	Torso World Racers - Checkered Pattern with Flames on Front, Flames and Red Skull with White Stripes on Back		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0683c01	Torso World Racers - Checkered Pattern with Flames on Front, Flames and Red Skull with White Stripes on Back / Black Arms / Yellow Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0684	Torso World Racers - White and Silver Jacket with Team Extreme Logo on Back Pattern		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0684c01	Torso World Racers - White and Silver Jacket with Team Extreme Logo on Back Pattern / White Arms / Black Hands		1.25	? x ? x ?
1098	Minifigure, Legs, Decorated	970c01pb01	Hips and White Legs with Lime Stripes and Silver Knee Pads Pattern		1.16	? x ? x ?
238	Minifigure, Head	3626pb0444	Minifigure, Head Dual Sided Black Thick Unibrow and Mutton Chops, Dark Tan Dirt Stains, Reddish Brown Scar, Angry Bared Teeth / Dark Bluish Gray Bandana over Mouth Pattern	3626bpb0444,3626cpb0444	0.54	? x ? x ?
238	Minifigure, Head	3626pb0445	Minifigure, Head Dual Sided Black Thick Eyebrows and Soul Patch, Right Lower Eyelid, Lime Paint Under Eyes, Orange Scuff Marks, Stern with Dimple / Angry Bared Teeth Pattern	3626bpb0445,3626cpb0445	0.54	? x ? x ?
16	Minifigure, Headgear	2446pb30	Minifigure, Headgear Helmet Motorcycle (Standard) with Red Flames and Skull with White Stripes Pattern		0.52	? x ? x ?
160	Sticker Sheet	8899stk01	Sticker Sheet for Set 8899, Sheet 1 - (90414/4583539)	90414	1.8	? x ? x ?
160	Sticker Sheet	8899stk02	Sticker Sheet for Set 8899, Sheet 2 - (89829/4580721)	89829	1.6	? x ? x ?
579	Windscreen, Decorated	6152apb07	Windscreen 6 x 4 x 1 1/3 with Bottom Tabs and Hollow Studs with Black, Blue and White Eyes and Fins Pattern (Stickers) - Set 6617		3.58	6 x 4 x 1.33
